0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1ºÅ,0,0,4.08,1,1,0,0,0,0,0,2,18,24,0
2ºÅ,0,0,1.48,1,1,0,0,0,0,0,2,6,12,0
3ºÅ,0,1,9,1,1,0,0,0,0,0,3,30,36,0
4ºÅ,0,0,9.1,1,1,0,0,0,0,0,3,36,48,0
5ºÅ,1,0,5.15,0,0,0,0,0,0,1,9,63,0,1
6ºÅ,0,0,43.53,0.67,1,0,0,0,0,0,3,36,48,0
7ºÅ,0,0,1.49,1,1,0,0,0,0,0,3,4,8,0
8ºÅ,1,0,2.53,1,1,1,0,0,0,0,2.5,14,0,0
9ºÅ,0,0,18,1,1,0,0,0,0,0,9,36,36,1
10ºÅ,0,0,16.88,0,1,1,0,0,0,1,5,60,0,1
11ºÅ,1,0,12.64,0,0,0,0,0,0,1,10,64,0,1
12ºÅ,0,0,3.21,1,1,0,0,0,0,0,2,9,12,0
13ºÅ,1,0,20,0,1,1,0,0,0,1,6,78,0,1
14ºÅ,0,1,19.61,0,1,0,0,0,0,1,10,62,0,1
15ºÅ,1,0,6.3,1,1,0,0,0,0,0,6,36,0,1
16ºÅ,2,0,9.7,1,1,0,0,0,0,1,5,60,0,1
17ºÅ,0,0,1.96,1,1,0,0,0,0,0,2,6,12,0
18ºÅ,1,0,0.5,1,1,0,0,0,0,0,0.5,7,0,0
19ºÅ,0,0,5.53,1,1,0,0,0,0,0,1.5,24,36,0
20ºÅ,0,0,17.61,1,1,0,0,0,0,1,5,60,0,1
21ºÅ,0,0,19.62,0,1,0,0,0,0,1,10,72,0,1
22ºÅ,0,0,14.79,1,1,0,0,0,0,1,5,60,0,1
23ºÅ,0,0,4.6,1,1,0,0,0,0,0,2,5,12,0
24ºÅ,0,0,2.7,1,1,0,0,0,0,0,2,12,12,0
25ºÅ,0,0,9.88,1,1,0,0,0,0,1,5,36,0,0
26ºÅ,1,0,10,1,1,0,0,0,0,1,5,60,0,1
27ºÅ,0,0,2.35,1,1,0,0,0,0,0,2,12,12,0
28ºÅ,0,0,1.67,1,1,0,0,0,0,0,2,6,12,0
29ºÅ,1,0,4.11,1,1,0,0,0,0,0,5,42,0,1
30ºÅ,2,0,8.97,0,0,0,0,0,0,1,15,84,0,1
31ºÅ,0,0,15.89,0,1,0,0,0,0,1,20,60,0,2
32ºÅ,1,0,216,0,0,1,0,0,0,2,35,156,0,2
33ºÅ,0,1,16.46,0,1,0,0,0,0,1,6,60,0,1
34ºÅ,0,0,6.31,1,1,0,0,0,0,0,2,18,24,0
35ºÅ,0,0,5.35,1,1,0,0,0,0,0,2,6,0,0
36ºÅ,0,1,1.43,1,1,0,0,0,0,0,2,5,10,0
37ºÅ,0,0,8.1,1,1,0,0,0,0,0,2,30,30,0
